Case,Inertia_kgm2,PeakAngle_deg,Overshoot_percent,RiseTime_s,SettlingTime_s,SteadyStateAngle_deg,SteadyStateError_deg,RequirementResult
Assumed inertia,0.025,16.442,9.61,0.101,0.86,15,-0.0001,PASS
CAD-derived inertia,0.0002183,15.24,1.603,0.537,0.948,15.001,-0.0006,PASS
